title,open_date,quarter,n_aud,n_screen,n_show,distributor,director,actor,score,genre,actor_power,genre_power,distributor_power
명량,2014.7.30,3,17613682 ,1587 ,188611 ,씨제이,김한민,"최민식, 류승룡, 조진웅",9 ,"액션, 드라마",179773779 ,859312808 ,332822481 
극한직업,2019.1.23,1,16265618 ,2003 ,292584 ,씨제이,이병헌,"류승룡, 이하늬, 진선규, 이동휘, 공명",9 ,코미디,165889768 ,210105867 ,332822481 
신과함께-죄와 벌,2017.12.20,4,14411502 ,3556 ,213262 ,롯데,김용화,"하정우, 차태현, 주지훈, 김향기, 김동욱, 마동석",8 ,"판타지, 드라마",299109749 ,596448092 ,159188751 
베테랑,2015.8.5,3,13414009 ,1115 ,199231 ,씨제이,류승완,"황정민, 유아인, 유해진, 오달수",9 ,"액션, 드라마",257871299 ,859312808 ,332822481 
도둑들,2012.7.25,3,12983178 ,1091 ,155392 ,쇼박스,최동훈,"김윤석, 김혜수, 이정재, 전지현, 임달화, 김해숙, 오달수, 김수현, 이신제, 증국상",8 ,"범죄, 액션, 드라마",327498480 ,1011969988 ,194689255 
7번방의 선물,2013.1.23,1,12811206 ,866 ,166815 ,넥스트,이환경,"류승룡, 박신혜, 갈소원, 오달수, 박원상, 김정태, 정만식, 김기천",9 ,코미디,265354515 ,210105867 ,160156018 
암살,2015.7.22,3,12705700 ,1519 ,175185 ,쇼박스,최동훈,"전지현, 이정재, 하정우",9 ,"액션, 드라마",178491537 ,859312808 ,194689255 
"광해, 왕이 된 남자",2012.9.13,3,12319390 ,1001 ,203400 ,씨제이,추창민,"이병헌, 류승룡, 한효주",9 ,드라마,153939111 ,554968598 ,332822481 
신과함께-인과 연,2018.8.1,3,12274996 ,2235 ,179981 ,롯데,김용화,"하정우, 주지훈, 김향기, 마동석, 김동욱",8 ,"판타지, 드라마",276018796 ,596448092 ,159188751 
택시운전사,2017.8.2,3,12186327 ,1906 ,184075 ,쇼박스,장훈,"송강호, 토마스 크레취만, 유해진, 류준열",9 ,"드라마, 가족",185920416 ,574799555 ,194689255 
부산행,2016.7.20,3,11565479 ,1788 ,151315 ,넥스트,연상호,"공유, 정유미, 마동석, 김수안, 김의성, 최우식, 안소희",8 ,"액션, 스릴러",198609535 ,408614846 ,160156018 
변호인,2013.12.18,4,11374618 ,1848 ,152267 ,넥스트,양우석,"송강호, 김영애, 오달수, 곽도원, 임시완",9 ,드라마,224110062 ,554968598 ,160156018 
기생충,2019.5.30,2,10085275 ,1948 ,192855 ,씨제이,봉준호,"송강호, 이선균, 조여정, 최우식, 박소담, 이정은, 장혜진",8 ,드라마,171576056 ,554968598 ,332822481 
검사외전,2016.2.3,1,9707581 ,1812 ,153532 ,쇼박스,이일형,"황정민, 강동원",8 ,"범죄, 코미디",101660342 ,362763047 ,194689255 
엑시트,2019.7.31,3,9426011 ,1660 ,202223 ,씨제이,이상근,"조정석, 윤아",8 ,"액션, 코미디",42649551 ,514450077 ,332822481 
설국열차,2013.8.1,3,9349993 ,1128 ,124823 ,씨제이,봉준호,"크리스 에반스, 송강호, 에드 해리스, 존 허트, 틸다 스윈튼, 제이미 벨, 옥타비아 스펜서, 이완 브렘너, 알리슨 필, 고아성",8 ,"SF, 액션, 드라마",160368317 ,872004342 ,332822481 
관상,2013.9.11,3,9134581 ,1240 ,125073 ,쇼박스,한재림,"송강호, 이정재, 백윤식, 조정석, 이종석, 김혜수",8 ,드라마,220104045 ,554968598 ,194689255 
해적: 바다로 간 산적,2014.8.6,3,8666046 ,910 ,133350 ,롯데,이석훈,"김남길, 손예진",8 ,"모험, 액션",45865256 ,340273965 ,159188751 
수상한 그녀,2014.1.22,1,8657982 ,1027 ,136975 ,씨제이,황동혁,"심은경, 나문희, 박인환, 성동일, 이진욱",9 ,"코미디, 드라마",89578467 ,765074465 ,332822481 
공조,2017.1.18,1,7817618 ,1392 ,142989 ,씨제이,김성훈,"현빈, 유해진, 김주혁",8 ,액션,105910143 ,304344210 ,332822481 
히말라야,2015.12.16,4,7759761 ,2050 ,142715 ,씨제이,이석훈,"황정민, 정우",8 ,드라마,82475815 ,554968598 ,332822481 
밀정,2016.9.7,3,7500420 ,1444 ,138161 ,기타,김지운,"송강호, 공유",8 ,액션,102817122 ,304344210 ,120697397 
최종병기 활,2011.8.10,3,7470633 ,615 ,130054 ,롯데,김한민,"박해일, 류승룡, 김무열, 문채원",8 ,"액션, 전쟁",140849109 ,326390939 ,159188751 
써니,2011.5.4,2,7362657 ,546 ,149135 ,씨제이,강형철,"유호정, 심은경, 강소라, 고수희, 김민영, 홍진희, 박진주, 이연경, 남보라, 김보미, 민효린",9 ,"코미디, 드라마",106523954 ,765074465 ,332822481 
1987,2017.12.27,4,7232387 ,2421 ,138226 ,씨제이,장준환,"김윤석, 하정우, 유해진, 김태리, 박희순, 이희준",9 ,드라마,261853289 ,554968598 ,332822481 
베를린,2013.1.30,1,7166290 ,894 ,111744 ,씨제이,류승완,"하정우, 한석규, 류승범, 전지현, 이경영",8 ,"액션, 드라마",169663056 ,859312808 ,332822481 
마스터,2016.12.21,4,7150586 ,2746 ,126927 ,씨제이,조의석,"이병헌, 강동원, 김우빈, 엄지원, 오달수, 진경",8 ,"액션, 범죄",204603049 ,457001390 ,332822481 
터널,2016.8.10,3,7120508 ,1105 ,113201 ,쇼박스,김성훈,"하정우, 배두나, 오달수",8 ,드라마,193887644 ,554968598 ,194689255 
내부자들,2015.11.19,4,7055332 ,1129 ,152265 ,쇼박스,우민호,"이병헌, 조승우, 백윤식",9 ,"범죄, 드라마",78513367 ,707625778 ,194689255 
인천상륙작전,2016.7.27,3,7049643 ,1049 ,97019 ,씨제이,이재한,"이정재, 이범수, 리암 니슨, 진세연",8 ,"전쟁, 드라마",83235667 ,577015327 ,332822481 
럭키,2016.10.13,4,6975290 ,1234 ,155977 ,쇼박스,이계벽,"유해진, 이준, 조윤희, 임지연",8 ,코미디,95832175 ,210105867 ,194689255 
은밀하게 위대하게,2013.6.5,2,6959083 ,1341 ,117461 ,쇼박스,장철수,"김수현, 박기웅, 이현우, 손현주",7 ,"액션, 드라마, 코미디",61805041 ,1069418675 ,194689255 
곡성,2016.5.12,2,6879908 ,1485 ,130322 ,기타,나홍진,"곽도원, 황정민, 쿠니무라 준, 천우희, 김환희",8 ,"미스터리, 스릴러, 드라마",126545114 ,698477293 ,120697397 
범죄도시,2017.10.3,4,6879841 ,1315 ,149334 ,기타,강윤성,"마동석, 윤계상",9 ,액션,88986071 ,304344210 ,120697397 
